,0
0,Arkansas
1,Connecticut
2,Delaware
3,Florida
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,North Carolina
24,North Dakota
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Texas
33,Utah
34,Vermont
35,Washington
36,Wisconsin
37,Wyoming
